,,int,str,float,int,int,int,int,int,float,float,int,int,int,int,int,int,int,float
0,,¼øÀ§,ÆÀ¸í,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
57,2008,1,SK,3.22,126,83,43,43,72,0.659,1151,1053,78,448,55,801,461,412,1.3
58,2008,2,·Ôµ¥,3.64,126,69,57,27,38,0.548,1119,1134,70,409,47,671,518,453,1.38
59,2008,3,µÎ»ê,3.89,126,70,56,26,37,0.556,1134.2,1115,78,379,69,780,542,490,1.32
60,2008,4,KIA,4.08,126,57,69,29,26,0.452,1124,1078,65,473,77,733,555,510,1.38
61,2008,5,»ï¼º,4.4,126,65,61,40,48,0.516,1123.1,1184,87,416,43,703,596,549,1.42
62,2008,6,ÇÑÈ­,4.43,126,64,62,36,39,0.508,1129.2,1136,95,519,49,723,595,556,1.47
63,2008,7,¿ì¸®,4.43,126,50,76,29,36,0.397,1125.1,1159,91,465,70,729,609,554,1.44
64,2008,8,LG,4.85,126,46,80,25,40,0.365,1108.1,1239,82,480,72,631,646,597,1.55
65,2009,1,SK,3.67,133,80,47,33,34,0.63,1213,1141,130,519,54,1032,550,494,1.37
66,2009,2,KIA,3.92,133,81,48,38,36,0.628,1199,1178,108,441,83,893,581,522,1.35
67,2009,3,µÎ»ê,4.6,133,71,60,32,59,0.542,1186.1,1221,120,515,75,862,662,607,1.46
68,2009,4,·Ôµ¥,4.75,133,66,67,40,37,0.496,1162.1,1290,139,487,67,722,669,613,1.53
69,2009,5,»ï¼º,4.98,133,64,69,32,45,0.481,1163.2,1226,141,609,56,905,700,644,1.58
70,2009,6,È÷¾î·ÎÁî,5.4,133,60,72,29,32,0.455,1174.1,1231,176,565,61,840,762,705,1.53
71,2009,7,LG,5.42,133,54,75,25,38,0.419,1175,1316,165,585,91,777,763,707,1.62
72,2009,8,ÇÑÈ­,5.7,133,46,84,16,34,0.354,1174,1335,176,569,77,908,805,743,1.62
73,2010,1,SK,3.71,133,84,47,36,39,0.641,1198.1,1074,117,543,47,1091,545,494,1.35
74,2010,2,»ï¼º,3.94,133,79,52,33,44,0.603,1193.2,1168,103,453,54,951,575,523,1.36
75,2010,3,KIA,4.39,133,59,74,25,40,0.444,1183.2,1227,93,468,81,885,641,577,1.43
76,2010,4,³Ø¼¾,4.55,133,52,78,27,39,0.4,1185.2,1162,122,614,95,832,652,599,1.5
