,0,int,str,int,int,int,int,int,int,float,int,int,int,float
0,,¼øÀ§,ÆÀ¸í,G,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
58,2008,2,µÎ»ê,126,92,5,3404,1325,111,0.981,12,109,46,29.7
59,2008,3,ÇÑÈ­,126,61,8,3389,1457,150,0.988,9,171,55,24.3
60,2008,4,¿ì¸®,126,100,10,3376,1403,121,0.98,10,123,58,32
61,2008,5,KIA,126,75,5,3372,1481,129,0.985,6,143,54,27.4
62,2008,6,»ï¼º,126,69,9,3370,1387,119,0.986,9,124,59,32.2
63,2008,7,·Ôµ¥,126,92,3,3357,1507,155,0.981,7,112,55,32.9
64,2008,8,LG,126,76,13,3325,1365,118,0.984,7,87,51,37
65,2009,1,SK,133,94,5,3639,1406,152,0.982,9,80,43,35
66,2009,2,KIA,133,94,5,3597,1500,129,0.982,3,133,45,25.3
67,2009,3,µÎ»ê,133,83,6,3559,1455,148,0.984,12,107,53,33.1
68,2009,4,LG,133,84,9,3525,1514,153,0.984,13,136,49,26.5
69,2009,5,È÷¾î·ÎÁî,133,90,6,3523,1459,141,0.982,16,138,48,25.8
70,2009,6,ÇÑÈ­,133,94,10,3522,1417,146,0.981,11,174,56,24.3
71,2009,7,»ï¼º,133,80,10,3491,1368,136,0.984,8,142,56,28.3
72,2009,8,·Ôµ¥,133,96,9,3487,1523,152,0.981,9,113,49,30.2
73,2010,1,SK,133,81,6,3595,1400,126,0.984,7,109,59,35.1
74,2010,2,·Ôµ¥,133,102,11,3582,1680,130,0.981,6,131,62,32.1
75,2010,3,»ï¼º,133,92,12,3581,1369,118,0.982,6,134,65,32.7
76,2010,4,LG,133,92,9,3564,1573,167,0.982,7,124,66,34.7
77,2010,5,³Ø¼¾,133,93,17,3557,1515,148,0.982,9,160,68,29.8
78,2010,6,KIA,133,86,8,3551,1493,118,0.983,4,156,48,23.5
79,2010,7,µÎ»ê,133,91,11,3539,1455,112,0.982,8,119,44,27
